path,matches_test,matches_train
D:\g2\Dataset\ExternalCosmetics\images\900387.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900388.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900389.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900390.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900391.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900392.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900393.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900394.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900395.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900396.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900397.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900398.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900399.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900400.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900401.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900402.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900403.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900404.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900405.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900406.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900407.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900408.jpg,False,False
