feature_index,importance_mean,importance_std
73,3.945715071219935e-05,5.093896253238141e-05
1389,3.9278682346585714e-05,0.0002993931321131182
1845,3.909687946002105e-05,0.0005670388633530109
1147,3.87009394948179e-05,0.0002466228777489005
774,3.8329834872743995e-05,9.21715272709438e-05
1803,3.8281884473995165e-05,0.00030776269742451197
1616,3.827164593535326e-05,0.00022778948634584207
512,3.8226144082401103e-05,0.00025525177052192725
923,3.778224016788567e-05,0.00016506806834781464
1539,3.702772795040332e-05,0.00021414938313712618
1983,3.6627681896606035e-05,0.00015200409216375923
1433,3.634840642161019e-05,0.000181844102433129
428,3.593051272118841e-05,6.675373874426643e-05
752,3.552106585148762e-05,0.00024979375692339234
1343,3.551292490747149e-05,0.00020180837254648695
244,3.5368405347846466e-05,4.5924041027801026e-05
1893,3.5292657366903235e-05,0.0003824776083678636
767,3.429266909332762e-05,0.0002231524452499318
381,3.333800653010366e-05,0.00042313128671545534
673,3.301454310684904e-05,0.0002971477209408861
810,3.2928567350890003e-05,0.0002435174055504255
414,3.184831089558804e-05,0.0001221920370293484
494,3.18366045345686e-05,0.0001156454428547156
1204,3.1545503340973946e-05,0.00015921802638301126
1534,3.1481005087818925e-05,0.0004008075425541852
1140,3.122913281836115e-05,0.0003568221097918937
892,3.060423548181812e-05,0.00013821906302959738
1825,3.050465830789495e-05,0.0002364011324756504
1962,3.0402361181999793e-05,0.0006542673830434911
1242,3.0391233201018664e-05,0.00021042771556214622
433,3.009495957388697e-05,0.0001461320726767103
413,2.992807233789807e-05,0.00015400552154714456
1232,2.9395928407199845e-05,0.00017773825719231284
541,2.934130790110956e-05,0.0002607923775503403
1526,2.926374259584752e-05,0.0002537351839538311
1832,2.7729499632644927e-05,0.00032395163312540193
347,2.7685910654329238e-05,0.00024209045758615702
1782,2.7608390719233156e-05,6.813940845246516e-05
943,2.7257058649352017e-05,6.431609906071334e-05
951,2.6016788266386426e-05,0.00019469707845015758
232,2.587897958389318e-05,8.031452782195998e-05
289,2.5557503790712977e-05,9.02007229310809e-05
1067,2.5244970026594427e-05,7.415614449283213e-05
1453,2.471098703303587e-05,9.562781310600809e-05
1823,2.4645791958433083e-05,0.00016809810598555778
1035,2.385003242666439e-05,0.00019048972308366094
463,2.2945729972356776e-05,0.00011494576365041057
1384,2.2406204483446657e-05,0.00017506165875967098
1754,2.192638310546946e-05,0.00034721144028535103
833,2.1859717042591043e-05,0.00018063513734937713
1937,2.1430882786180327e-05,0.00021122124355631345
970,2.1203955698739785e-05,0.00019677202306656096
661,2.117257490873159e-05,0.00015006131135559284
239,2.0742034269882748e-05,3.592625720777174e-05
93,2.0742034269882748e-05,3.592625720777174e-05
272,2.0742034269882748e-05,3.592625720777174e-05
677,2.0248366892142156e-05,0.00014980254076219906
159,1.9730323668809557e-05,0.000119519395490922
1460,1.909812543046674e-05,0.0001933986587279965
355,1.901928110362161e-05,0.00017215291408807234
1219,1.740632092808725e-05,0.0002922520764018329
1930,1.6902303150795328e-05,0.0004491298375337283
1659,1.677031219150804e-05,0.00023928060654620947
699,1.633138933808398e-05,3.953989714804538e-05
1339,1.6237487834538933e-05,0.00037490467492840506
1262,1.5974949142807948e-05,0.00021209861899877517
47,1.5534067748276814e-05,0.00014466144616096698
311,1.4624356112893921e-05,3.2741633357877284e-05
1923,1.4501438827585478e-05,0.0001508007995738889
1044,1.3596505078497523e-05,0.0001761562612324014
60,1.3152383570733117e-05,3.479793607589153e-05
230,1.3152383570733117e-05,3.479793607589153e-05
50,1.3038813859889142e-05,0.0002303869367933144
898,1.2498694106452546e-05,3.306843631874209e-05
470,1.2498694106452546e-05,3.306843631874209e-05
1315,1.2178076377100666e-05,0.0004295167651977417
700,1.1890560499397407e-05,3.542927743336765e-05
1583,1.1753320793117528e-05,0.0001464687703312928
1373,1.0371017134941374e-05,2.7439132181844473e-05
214,1.0371017134941374e-05,2.7439132181844473e-05
267,1.0371017134941374e-05,2.7439132181844473e-05
1112,1.0287173436457353e-05,9.711098151586156e-05
1755,9.852171140661836e-06,9.166393461024398e-05
686,9.150838290228336e-06,6.10618572363951e-05
914,8.79339551919378e-06,0.00010514753963928645
1208,7.537444608129995e-06,0.00012719061697380612
1337,6.751544001273868e-06,0.00016140260352310687
129,6.495304055428863e-06,6.59168019066484e-05
1334,5.978413726070997e-06,0.0002698014800624085
489,5.819150825162045e-06,5.751386639926806e-05
1310,5.598312465340816e-06,0.0001680307518621836
760,5.195574222932597e-06,0.00018772347827491047
812,5.189248790837819e-06,0.00017742363625006664
1609,5.155080428698167e-06,0.00013625467595789324
1366,5.139283017693841e-06,0.0001806116801837017
1977,5.03313613936518e-06,0.00011598981400400053
941,4.947790968892751e-06,0.00013252575979294122
493,4.817461316364291e-06,5.605768041305893e-05
1917,4.615297521395889e-06,0.00018258549151468507
800,4.593851347517441e-06,7.707254408158378e-05
89,4.367612684630373e-06,0.0002989029786672697
364,4.1186909199297794e-06,0.00017893845153492632
48,3.1701280570756163e-06,8.195241411089368e-05
615,2.8042502491498755e-06,9.360701236726665e-05
1769,2.722495458240548e-06,0.00011527931736918163
1235,2.097897482372657e-06,4.329214508645281e-05
