source,run,arm,target,class,metric,value
training_history,C multi 8,,,,val_gender,0.6752538976116378
training_history,C multi 8,,,,val_usage,0.3772930736974018
training_history,C multi 9,,,,loss,0.647596349949225
training_history,C multi 9,,,,val_gender,0.62088249439124
training_history,C multi 9,,,,val_usage,0.3575228244025868
training_history,C multi 10,,,,loss,0.6231011367025495
training_history,C multi 10,,,,val_gender,0.6048554900768149
training_history,C multi 10,,,,val_usage,0.3613332358921952
training_history,C multi 11,,,,loss,0.5951670932585484
training_history,C multi 11,,,,val_gender,0.6045257523754762
training_history,C multi 11,,,,val_usage,0.3518911198486354
training_history,C multi 12,,,,loss,0.5786281921310387
training_history,C multi 12,,,,val_gender,0.66101766600773
training_history,C multi 12,,,,val_usage,0.3751436255021709
training_history,C multi 13,,,,loss,0.5548742467247478
training_history,C multi 13,,,,val_gender,0.675918380661819
training_history,C multi 13,,,,val_usage,0.3927518714422774
training_history,C multi 14,,,,loss,0.5298569874340809
training_history,C multi 14,,,,val_gender,0.6821012407313976
training_history,C multi 14,,,,val_usage,0.3955790742727792
training_history,C multi 15,,,,loss,0.5085977853169362
training_history,C multi 15,,,,val_gender,0.6937977548044839
training_history,C multi 15,,,,val_usage,0.3747011261920601
training_history,C multi 16,,,,loss,0.4919932900841226
training_history,C multi 16,,,,val_gender,0.6962367314024005
training_history,C multi 16,,,,val_usage,0.4014623075857482
training_history,C multi 17,,,,loss,0.4685029537916154
training_history,C multi 17,,,,val_gender,0.7279585223847512
training_history,C multi 17,,,,val_usage,0.4056415131732412
training_history,C multi 18,,,,loss,0.4534285117854294
training_history,C multi 18,,,,val_gender,0.7228806145341072
training_history,C multi 18,,,,val_usage,0.4030732032933023
training_history,C multi 19,,,,loss,0.4481762104565894
training_history,C multi 19,,,,val_gender,0.7199373516061364
training_history,C multi 19,,,,val_usage,0.4038896496689066
training_history,C multi 20,,,,loss,0.4431639034846762
training_history,C multi 20,,,,val_gender,0.7240179135516591
training_history,C multi 20,,,,val_usage,0.4045542188459926
training_history,C weighted 1,,,,loss,2.047226232255342
training_history,C weighted 1,,,,val_gender,0.3892725354685008
training_history,C weighted 1,,,,val_usage,0.2992143310584179
training_history,C weighted 2,,,,loss,1.589055811076253
training_history,C weighted 2,,,,val_gender,0.5149232150444939
training_history,C weighted 2,,,,val_usage,0.2932554476351124
training_history,C weighted 3,,,,loss,1.444114662393818
training_history,C weighted 3,,,,val_gender,0.4258412531702996
training_history,C weighted 3,,,,val_usage,0.2682755806403106
training_history,C weighted 4,,,,loss,1.323103128474128
training_history,C weighted 4,,,,val_gender,0.6107102119462953
training_history,C weighted 4,,,,val_usage,0.3534274842415307
training_history,C weighted 5,,,,loss,1.2570034941597303
training_history,C weighted 5,,,,val_gender,0.6104601462144179
training_history,C weighted 5,,,,val_usage,0.3518184946613346
training_history,C weighted 6,,,,loss,1.1968481685734496
training_history,C weighted 6,,,,val_gender,0.6055080844677152
training_history,C weighted 6,,,,val_usage,0.3721088262796861
training_history,C weighted 7,,,,loss,1.140483917760189
training_history,C weighted 7,,,,val_gender,0.5409460139275236
training_history,C weighted 7,,,,val_usage,0.3292922011162291
training_history,C weighted 8,,,,loss,1.0966629395682888
training_history,C weighted 8,,,,val_gender,0.6554880020842668
training_history,C weighted 8,,,,val_usage,0.3977860390297887
training_history,C weighted 9,,,,loss,1.0521223262990893
training_history,C weighted 9,,,,val_gender,0.64259944462575
training_history,C weighted 9,,,,val_usage,0.3603406910769484
training_history,C weighted 10,,,,loss,0.9974557694139184
training_history,C weighted 10,,,,val_gender,0.6841669825233939
training_history,C weighted 10,,,,val_usage,0.4000449058481196
training_history,C weighted 11,,,,loss,0.9551003992505508
training_history,C weighted 11,,,,val_gender,0.6416093175870833
training_history,C weighted 11,,,,val_usage,0.4070859009054381
training_history,C weighted 12,,,,loss,0.919625902782279
training_history,C weighted 12,,,,val_gender,0.5834054397947239
training_history,C weighted 12,,,,val_usage,0.3905586830383804
training_history,C weighted 13,,,,loss,0.8796718158919293
training_history,C weighted 13,,,,val_gender,0.6862061855554089
training_history,C weighted 13,,,,val_usage,0.4118059026912379
training_history,C weighted 14,,,,loss,0.8385425103511793
training_history,C weighted 14,,,,val_gender,0.6723106746826207
training_history,C weighted 14,,,,val_usage,0.408042344650955
training_history,C weighted 15,,,,loss,0.8065457303035647
training_history,C weighted 15,,,,val_gender,0.7166399426289984
training_history,C weighted 15,,,,val_usage,0.4334123483924003
training_history,C weighted 16,,,,loss,0.7699659981865521
training_history,C weighted 16,,,,val_gender,0.6749274577216255
training_history,C weighted 16,,,,val_usage,0.4389298430911483
training_history,C weighted 17,,,,loss,0.7432862567553837
training_history,C weighted 17,,,,val_gender,0.7035803168143656
training_history,C weighted 17,,,,val_usage,0.4440529588610025
training_history,C weighted 18,,,,loss,0.7204169126360096
training_history,C weighted 18,,,,val_gender,0.7129981226868138
training_history,C weighted 18,,,,val_usage,0.4434442808696771
